Word Tag
The B-P
People I-P
of I-P
the I-P
State I-P
of I-P
Illinois I-P
, I-P
defendant I-P
in I-P
error I-P
, I-P
v. I-P
Charles I-P
Finefield I-P
, I-P
plaintiff I-P
in I-P
error I-P
. O
Gen. B-N
No. I-N
7,187 I-N
. O
Prosecution O
for O
selling O
intoxicating O
liquor O
in O
violation O
of O
Prohibition O
Act O
of O
Illinois. O
Defendant O
found O
guilty. O
Error O
to O
the O
Circuit O
Court O
of O
Livingston O
county; O
the O
Hon. O
Stevens O
R. O
Baker O
, O
Judge O
, O
presiding. O
Heard O
in O
this O
court O
at O
the O
April O
term O
, O
1923 O
. O
Affirmed O
. O
Opinion B-D
filed I-D
August I-D
13 I-D
, I-D
1923 I-D
. O
Rehearing O
denied O
October O
2 O
, O
1923 O
. O
Arthur O
A. O
Lowry O
, O
for O
plaintiff O
in O
error. O
John O
H. O
MePadden O
, O
State\u2019s O
Attorney O
, O
for O
defendant O
in O
error; O
Robert O
M. O
Niven O
, O
of O
counsel O
. O
Mr. B-A
Justice I-A
Jett I-A
delivered O
the O
opinion O
of O
the O
court O
. O
\n O

Angelos B-P
Pappas I-P
, I-P
appellee I-P
, I-P
v. I-P
R. I-P
L. I-P
Langford I-P
, I-P
appellant I-P
. O
Gen. B-N
No. I-N
28,455 I-N
. O
Action O
for O
damages O
to O
automobile O
sustained O
by O
collision. O
Judg*622meat O
for O
plaintiff. O
Appeal O
from O
the O
Municipal O
Court O
of O
Chicago; O
the O
Hon. O
John O
F. O
O\u2019Connell O
, O
Judge O
, O
presiding. O
Heard O
in O
the O
first O
division O
of O
this O
court O
for O
the O
first O
district O
at O
the O
March O
term O
, O
1923 O
. O
Reversed O
with O
finding O
of O
fact O
. O
Opinion B-D
filed I-D
December I-D
10 I-D
, I-D
1923 I-D
. O
Cassels O
, O
Potter O
&amp; O
Gilbert O
, O
for O
appellant; O
Ralph O
F. O
Potter O
and O
John O
W. O
Fisher O
, O
of O
counsel. O
John O
J. O
Lupe O
, O
for O
appellee O
. O
Mr. B-A
Presiding I-A
Justice I-A
Matchett I-A
delivered O
the O
opinion O
of O
the O
court O
. O
\n O

Rudolph B-P
Lederer I-P
, I-P
appellee I-P
, I-P
v. I-P
Albert I-P
Sabath I-P
and I-P
Morris I-P
Sabath I-P
, I-P
appellants I-P
. O
Gen. B-N
No. I-N
28,394 I-N
. O
Judgment O
on O
note O
for O
plaintiff. O
Appeal O
from O
the O
Municipal O
Court O
of O
Chicago; O
the O
Hon. O
Samuel O
H. O
Trude O
, O
Judge O
, O
presiding. O
Heard O
in O
the O
second O
division O
of O
this O
court O
for O
the O
first O
district O
at O
the O
March O
term O
, O
1923 O
. O
Affirmed O
. O
Opinion B-D
filed I-D
October I-D
2 I-D
, I-D
1923 I-D
. O
Sabath O
&amp; O
Sabath O
, O
for O
appellants. O
Frederick O
W. O
Moore O
, O
for O
appellee O
. O
Mr. B-A
Justice I-A
Fitch I-A
delivered O
the O
opinion O
of O
the O
court O
. O
\n O

L. B-P
J. I-P
Kendall I-P
et I-P
al. I-P
, I-P
appellants I-P
, I-P
v. I-P
A. I-P
M. I-P
Montgomery I-P
et I-P
al. I-P
, I-P
appellees I-P
. O
Gen. B-N
No. I-N
7,200 I-N
. O
Mandamus O
against O
drainage O
district O
to O
compel O
levy O
for O
certain' O
improvements. O
Judgment O
for O
commissioners. O
Appeal O
from O
the O
Circuit O
Court O
of O
Bureau O
county; O
the O
Hon. O
Joe O
A. O
Davis O
, O
Judge O
, O
presiding. O
Heard O
in O
this O
court O
at O
the O
April O
term O
, O
1923 O
. O
Affirmed O
. O
Opinion B-D
filed I-D
October I-D
18 I-D
, I-D
1923 I-D
. O
Certiorari O
denied O
by O
Supreme O
Court O
(making O
opinion O
final) O
. O
Clyde O
Smith O
, O
for O
appellants; O
M. O
A. O
Stiver O
, O
of O
counsel. O
Josef O
T. O
Skinner O
and O
J. O
L. O
Spaulding O
, O
for O
appellees O
. O
Mr. B-A
Justice I-A
Jett I-A
delivered O
the O
opinion O
of O
the O
court O
. O
\n O

Universal B-P
Vending I-P
Service I-P
Company I-P
, I-P
appellee I-P
, I-P
v. I-P
James I-P
Alfredo I-P
, I-P
appellant I-P
. O
Gen. B-N
No. I-N
28,599 I-N
. O
Consolidated O
with O
No. O
28 O
, O
578 O
ante. O
Appeal O
from O
the O
Municipal O
Court O
of O
Chicago; O
the O
Hon. O
Henry O
M. O
Walker O
, O
Judge O
, O
presiding. O
Heard O
in O
the O
second O
division O
of O
this O
court O
for O
the O
first O
district O
. O
Affirmed O
. O
Opinion B-D
filed I-D
November I-D
27 I-D
, I-D
1923 I-D
. O
Per B-A
Curiam I-A
. O
\n O

Samuel O
W. O
Lowry O
, O
assignee O
of O
Para O
Auto O
Tire O
Company O
, O
appellant O
, O
v. O
Henderson O
Tire O
&amp; O
Rubber O
Corporation O
, O
appellee O
. O
Gen. B-N
No. I-N
28,406 I-N
. O
Action O
for O
brokerage O
commission. O
Judgment O
for O
defendant. O
Appeal O
from O
the O
Municipal O
Court O
of O
Chicago; O
the O
Hon. O
Wells O
M. O
Cook O
, O
Judge O
, O
presiding. O
Heard O
in O
the O
second O
division O
of O
this O
court O
for O
the O
first O
district O
at O
the O
March O
term O
, O
1923 O
. O
Reversed O
with O
a O
finding O
of O
facts O
and O
judgment O
here O
. O
Opinion B-D
field I-D
October I-D
2 I-D
, I-D
1923 I-D
. O
Certiorari O
denied O
by O
Supreme O
Court O
(making O
opinion O
final) O
. O
Werner O
H. O
Sommers O
and O
Walter O
F. O
Sommers O
, O
for O
appellant. O
Thomas O
B. O
Lantry O
, O
for O
appellee O
. O
Mr. B-A
Justice I-A
Fitch I-A
delivered O
the O
opinion O
of O
the O
court O
. O
\n O

Universal B-P
Vending I-P
Service I-P
Company I-P
, I-P
appellee I-P
, I-P
v. I-P
Vito I-P
Pacelli I-P
, I-P
appellant I-P
. O
Gen. B-N
No. I-N
28,583 I-N
. O
Consolidated O
with O
No. O
28 O
, O
578 O
ante. O
Appeal O
from O
the O
Municipal O
Court O
of O
Chicago; O
the O
Hon. O
Henry O
M. O
Walker O
, O
Judge O
, O
presiding. O
Heard O
in O
the O
second O
division O
of O
this O
court O
for O
the O
first O
district O
. O
Affirmed O
. O
Opinion B-D
filed I-D
November I-D
